corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y
00207223,2017,-12831457650.0,-12793190284.0,51711410524.0,11986798926.0,5221618942.0,39155632202.0,26260.0,위너지스,,
00454265,2015,-35255572744.0,25128109606.0,263858110221.0,137747009068.0,132798980132.0,312674485421.0,87220.0,스틸플라워,,
00454265,2016,-48417802986.0,-9048436903.0,227944156605.0,92878393087.0,88714294713.0,263858110221.0,87220.0,스틸플라워,,
00454265,2017,-46566645911.0,-665776167.0,168091465966.0,52306837536.0,63036640531.0,227944156605.0,87220.0,스틸플라워,,
01170962,2017,286917249.0,,2192229763.0,1424957577.0,979999635.0,1516664130.0,900290.0,GRT,,
01170962,2018,313183312.0,,2438945147.0,1810341713.0,1333847614.0,2192229763.0,900290.0,GRT,,
01170962,2019,390665700.0,,3449742519.0,2213778488.0,1630913279.0,2438945147.0,900290.0,GRT,,
01170962,2020,303297551.0,,3674265906.0,2020824529.0,1503226230.0,3449742519.0,900290.0,GRT,,
00348177,2015,-13664040131.0,-7500825941.0,67028149755.0,35269577148.0,38265972222.0,77045349417.0,52290.0,트레이스,,
00348177,2016,-6572418731.0,-11148976820.0,65276268509.0,14681169950.0,10975705264.0,67028149755.0,52290.0,트레이스,,
00348177,2017,-36415420882.0,-4242083304.0,36186408804.0,3482751204.0,6893030075.0,65276268509.0,52290.0,트레이스,,
00790121,2015,107240044.0,39620212.0,2161819516.0,2264360289.0,2009146621.0,2325154225.0,900090.0,차이나하오란리사이클링유한공사,,
00790121,2016,135514252.0,218182502.0,2326122210.0,2365026280.0,2083884947.0,2161819516.0,900090.0,차이나하오란리사이클링유한공사,,
00790121,2017,-645813167.0,51337545.0,1479003364.0,2342867346.0,2123262364.0,2326122210.0,900090.0,차이나하오란리사이클링유한공사,,
00569992,2015,2465077676.0,2914044789.0,113789515046.0,106692815222.0,84115582923.0,109900933840.0,123100.0,원익테라세미콘,,
00569992,2016,19487659134.0,38295668987.0,190971750619.0,172388602791.0,128601220011.0,113789515046.0,123100.0,원익테라세미콘,,
00569992,2017,43188671139.0,8580611716.0,206158796360.0,361142430106.0,273158841915.0,190971750619.0,123100.0,원익테라세미콘,,
00232496,2015,-24346725445.0,-11153020504.0,81902827419.0,25161179914.0,27552189676.0,69781374399.0,99830.0,씨그널엔터테인먼트그룹,,
00232496,2016,-33838321912.0,-1231087723.0,50871848509.0,23996316239.0,19664634263.0,78988132227.0,99830.0,씨그널엔터테인먼트그룹,,
00232496,2017,-9822886231.0,-6156236492.0,48941775910.0,31328168339.0,28406216622.0,50871848509.0,99830.0,씨그널엔터테인먼트그룹,,
