corp_code,stock_code,corp_name
00148328,001300,제일모직
00842479,139170,퓨얼셀파워
00907660,950100,아루히
00351269,053870,지티앤티
00350251,052880,모아에스앤에스
00206127,033280,어울림엘시스
00846396,138440,이코리아자기관리부동산투자회사
00144155,003600,SK
00678281,103650,에이치앤아이
00314888,051710,디에스
00653990,110500,유니드코리아
00451116,072430,아이레보
00159926,010150,포스코티엠씨
00648688,101380,거북선2호선박투자회사
00512550,082240,아시아퍼시픽5호선박투자회사
00512532,082260,아시아퍼시픽7호선박투자회사
00512541,082250,아시아퍼시픽6호선박투자회사
01047929,207930,에스케이제1호기업인수목적
01064315,215580,대우기업인수목적3호
01047567,207720,엔에이치에스엘기업인수목적
01043871,204650,케이티비기업인수목적1호
01065536,215750,미래에셋제3호기업인수목적
00636045,110570,넥솔론
00632331,189700,디피앤케이
00974459,156170,비앤에스미디어
00461690,085980,세화피앤씨
01111057,232290,에스지에이시스템즈
00823687,900130,웨이포트유한공사
00318538,232360,아스팩오일
00855145,139200,하이골드오션2호선박투자회사
01046179,206660,골든브릿지제2호기업인수목적
00110495,005620,대성합동지주
00722500,900050,중국원양자원유한공사
00533678,083620,아시아퍼시픽15호선박투자회사
01047716,208870,하나머스트3호기업인수목적
00686147,104120,신성에프에이
00686068,104110,신성이엔지
00163619,061460,한진피앤씨
00967778,192240,나이코
01038161,204440,대우기업인수목적2호
00267960,036500,에스에스컴텍
00529310,083350,동북아10호선박투자회사
01080410,219580,골든브릿지제3호기업인수목적
00413824,086200,제이앤유글로벌
01090301,222390,케이비제8호기업인수목적
01010572,256090,패션플랫폼
01075047,218710,키움제3호기업인수목적
01089828,221200,유진기업인수목적3호
01087079,219860,한화에이스기업인수목적2호
01072660,217810,엔에이치기업인수목적7호
01091391,223040,교보5호기업인수목적
01089961,221950,케이비드림투게더제3호기업인수목적
01089387,219960,유안타제2호기업인수목적
01111765,252940,에스엠로보틱스
01115257,246830,시냅스엠
01109186,230490,동부제4호기업인수목적
01095892,235090,태경피엔에스
00130949,016170,카카오엠
00202778,051170,썬코어
01090921,237720,케이엠제약
01102800,226850,키움제4호기업인수목적
00148717,008000,도레이케미칼
00959265,207230,디와이엘엔제이
00447478,095300,엔에스브이
00163789,090730,심팩메탈
00838421,130960,씨제이이앤엠
01094565,225440,이베스트기업인수목적3호
00842327,900180,완리인터내셔널홀딩스
00156044,024660,하림홀딩스
00109170,004130,대덕GDS
00207223,026260,위너지스
00454265,087220,스틸플라워
01170962,900290,GRT
00348177,052290,트레이스
01111020,232270,케이비제9호기업인수목적
01117103,235010,하이에이아이1호기업인수목적
00264644,038990,넥스콘테크놀러지
00334244,047060,덴소코리아
00535719,082220,프렉코
00790121,900090,차이나하오란리사이클링유한공사
00569992,123100,원익테라세미콘
00925453,167380,나무기술
01130937,240540,한국제4호기업인수목적
00232496,099830,씨그널엔터테인먼트그룹
01088458,272420,극동자동화
00108047,007910,세원화성
00609254,111610,세왕
01117495,251540,에스와이제이
00835734,144740,피엠디아카데미
01119217,242420,본느
00865382,140890,트러스와이제7호위탁관리부동산투자회사
00149877,015170,중앙바이오텍
00123514,030950,보진재
01139266,900260,로스웰
01018954,250300,제이에스피브이
00921475,230400,자비스
01199985,265480,미래에셋대우기업인수목적1호
00619020,135270,세종머티리얼즈
01179839,257730,신한제3호기업인수목적
01095397,229480,줌인터넷
01051339,226610,한국비엔씨
01113277,247300,인프라웨어테크놀러지
01197428,264290,한화에이스기업인수목적3호
00252755,039530,씨앤케이인터내셔널
01181940,122050,아이엘사이언스
00580180,176560,포인트엔지니어링
00473400,077280,한컴지엠디
00100717,023430,아이이
01201581,265920,한화수성기업인수목적
00200956,026180,현대정보기술
01111570,232330,에스케이제3호기업인수목적
01113781,242850,영현무역
01194759,262830,대신밸런스제4호기업인수목적
00527880,122800,썬테크놀로지스
00117638,007150,동양텔레콤
01063963,252370,유쎌
00656340,210610,소프트캠프
01194892,271400,알로이스
00222806,043580,에임하이글로벌
01234525,271740,한국제5호기업인수목적
00389679,065180,해피드림
00526465,083380,동북아13호선박투자회사
00324104,047440,디케이씨
00410678,204690,다린
00930321,159650,하이골드오션8호국제선박투자회사
00695464,900040,차이나그레이트스타인터내셔널리미티드
00123152,004740,보루네오가구
01086812,205290,케미메디
00961136,189540,씨티네트웍스
00893923,185280,이푸른
00530796,094700,미성포리테크
00671437,123260,파인넥스
00102681,004200,고려개발
01243550,276920,아이비케이에스제7호기업인수목적
00814810,251960,엠에프엠코리아
01186811,284610,티에스트릴리온
01066030,220110,드림티엔터테인먼트
00526447,083370,동북아12호선박투자회사
00435297,088980,맥쿼리인프라
00598587,108790,인터파크
01243772,277480,신한제4호기업인수목적
01107665,900250,크리스탈신소재
00351418,152330,코리아오토글라스
00843830,220250,카이노스메드
00647935,099350,하나유비에스암바토비니켈해외자원개발2호
00647883,099340,하나유비에스암바토비니켈해외자원개발1호
01277928,291210,한국제7호기업인수목적
00100258,030270,에스마크
00255141,035480,글로앤웰
01247918,279410,한화에이스기업인수목적4호
01257526,281410,한국제6호기업인수목적
00599887,099660,신텍
00601641,197210,리드
00261735,039790,위노바
00122339,036260,이매진아시아
00159290,023890,한국아트라스비엑스
00116356,005190,동성화학
01337114,329050,구스앤홈
01336391,310840,엔에이치기업인수목적13호
00609485,103130,웅진에너지
00173944,105840,우진
00786331,900080,에스앤씨엔진그룹리미티드
00146719,001590,일화모직공업
01337220,311270,키움제5호기업인수목적
00129350,001820,삼화콘덴서공업
00303217,049800,우진플라임
00389387,065160,라임
00125938,023600,삼보판지
00954242,172580,하이골드오션12호국제선박투자회사
01036446,200880,서연이화
00455112,045890,금빛
00129554,011420,갤럭시아에스엠
01068348,217500,러셀
00612115,091270,유디피
01351114,317030,케이비제17호기업인수목적
01326260,307160,하나머스트제6호기업인수목적
01236286,900310,컬러레이
00364111,086080,다이노나
01015726,213090,미래테크놀로지
00650629,101060,SBS미디어홀딩스
01169434,900300,오가닉티코스메틱
00194275,033110,코너스톤네트웍스
00207755,028150,지에스홈쇼핑
00133663,053060,세동
01137897,224880,에스지에이클라우드서비스
00132318,014620,성광벤드
