corp_code,fyear,ni,ocf,at,rev,cogs,at_prev,stock_code_x,corp_name_x,stock_code_y,corp_name_y,stock_code,tacc,gpoa
00413824,2015,-16893205000.0,-17932044132.0,94097710100.0,41747398607.0,30492040407.0,81164751546.0,86200.0,제이앤유글로벌,,,086200,0.012799141403288096,0.13867298286031274
01089828,2015,26769849.0,-10077886.0,13852422165.0,0.0,0.0,,221200.0,유진기업인수목적3호,,,221200,,
01089828,2016,127483548.0,154808782.0,14017106599.0,0.0,0.0,13852422165.0,221200.0,유진기업인수목적3호,,,221200,-0.0019725961044589633,0.0
00130949,2015,50278855042.0,78535051807.0,362792050192.0,357640656211.0,,303885364081.0,16170.0,카카오엠,,,016170,-0.09298307883451856,
00130949,2016,62142777182.0,96982474400.0,453850490854.0,450645544059.0,,362792050192.0,16170.0,카카오엠,,,016170,-0.09603214072513945,
00130949,2017,67688435069.0,115624098136.0,543107137694.0,580332777304.0,,453850490854.0,16170.0,카카오엠,,,016170,-0.10561994320376424,
00202778,2015,-15290634707.0,1028934418.0,117371607036.0,46764328956.0,45056061817.0,64682431309.0,51170.0,썬코어,,,051170,-0.2523029637992175,0.026410063821492583
00202778,2016,-37069403356.0,-3893657993.0,77473687002.0,43487814441.0,43461981466.0,117371607036.0,51170.0,썬코어,,,051170,-0.28265562856973064,0.0002200956061892938
00148717,2015,-4315628598.0,20453481021.0,727951594676.0,207890217005.0,183133836282.0,760171647669.0,8000.0,도레이케미칼,,,008000,-0.03258357463732344,0.032566829871797084
00148717,2016,21854084841.0,64616249520.0,713772955053.0,856457055850.0,724464182238.0,727951594676.0,8000.0,도레이케미칼,,,008000,-0.05874314307674919,0.1813209485044785
00148717,2018,25196924826.0,48695679979.0,780240497539.0,946151714215.0,835939638952.0,768686278228.0,8000.0,도레이케미칼,,,008000,-0.030570020330231568,0.14337718570580493
00447478,2015,-11597605402.0,820732720.0,38369792268.0,27979903867.0,31219625431.0,52303962575.0,95300.0,엔에스브이,,,095300,-0.23742633465281,-0.06194027000066161
00447478,2016,-11080892721.0,-2338200943.0,26547518783.0,16904406470.0,18987412021.0,38369792268.0,95300.0,엔에스브이,,,095300,-0.22785350822165676,-0.05428764212354635
00163789,2015,-2736009372.0,26305334713.0,254216750159.0,138512463105.0,131955241913.0,270215369677.0,90730.0,심팩메탈,,,090730,-0.10747480470749818,0.024266647747824735
00163789,2016,6771303496.0,13313102019.0,253349177763.0,137543470935.0,124965863867.0,254216750159.0,90730.0,심팩메탈,,,090730,-0.025733152984248397,0.04947591793276143
00163789,2017,16550261144.0,8219047011.0,262850991188.0,229245382265.0,200257199302.0,253349177763.0,90730.0,심팩메탈,,,090730,0.03288431486757609,0.11441988175749089
00838421,2015,52920339642.0,295450649275.0,2364855621498.0,1347313885448.0,1019400511204.0,2357385524199.0,130960.0,씨제이이앤엠,,,130960,-0.10288105494132434,0.13910044448729678
00838421,2016,60857852801.0,258777878860.0,2792954983825.0,1538423390983.0,1189547944765.0,2364855621498.0,130960.0,씨제이이앤엠,,,130960,-0.0836922238549299,0.14752505102066546
00838421,2017,421948665596.0,239177535259.0,3758919984666.0,1750120615318.0,1310027171498.0,2792954983825.0,130960.0,씨제이이앤엠,,,130960,0.06544005592481544,0.157572695001795
00842327,2015,197474764.0,379127582.0,2742824616.0,1498624843.0,1071035509.0,2309571156.0,900180.0,완리인터내셔널홀딩스,,,900180,-0.07865218507257804,0.1851379780567367
00842327,2016,125998031.0,360027022.0,2810015578.0,1257298833.0,891467029.0,2742824616.0,900180.0,완리인터내셔널홀딩스,,,900180,-0.08532408147236782,0.13337776023518086
